"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
37,0,2030205,"520110","2"
28,0,2031355,"520110","2"
56,0,2040805,"520110","2"
42,0,2030445,"520110","2"
58,0,2032745,"520110","2"
43,0,2025605,"520110","2"
52,0,2030145,"520110","2"
53,0,2030145,"520110","2"
51,0,2040385,"520110","2"
60,0,2018775,"520110","2"
54,0,2172614,"520110","2"
53,0,2188764,"520110","2"
66,0,2181154,"520110","2"
42,0,2185064,"520110","2"
55,0,2180874,"520110","2"
56,0,2180874,"520110","2"
54,0,2173904,"520110","2"
37,0,2224464,"520110","2"
45,0,2187124,"520110","2"
34,0,2196425,"520110","2"
55,0,2217063,"520110","2"
45,0,2256814,"520110","2"
46,0,2205323,"520110","2"
39,0,2233472,"520110","2"
47,0,2280722,"520110","2"
55,0,2278212,"520110","2"
39,0,2264252,"520110","2"
52,0,2283972,"520110","2"
59,0,2286612,"520110","2"
66,0,2280842,"520110","2"
77,0,2029125,"520110","2"
40,1,2040235,"520110","2"
40,2,2040235,"520110","2"
51,1,2022045,"520110","2"
51,2,2022045,"520110","2"
47,0,2225615,"520110","2"
48,0,2225615,"520110","2"
80,0,2019955,"520110","2"
81,0,2019955,"520110","2"
64,1,2029345,"520110","2"
64,2,2029345,"520110","2"
77,0,2181024,"520110","2"
75,1,2188614,"520110","2"
75,2,2188614,"520110","2"
57,0,2193114,"520110","2"
36,0,2222373,"520110","2"
49,1,2201233,"520110","2"
49,2,2201233,"520110","2"
60,0,2217693,"520110","2"
46,0,2212853,"520110","2"
47,0,2212853,"520110","2"
80,1,2214833,"520110","2"
60,0,2221643,"520110","2"
75,0,2202393,"520110","2"
86,1,2219323,"520110","2"
86,2,2219323,"520110","2"
88,1,2219323,"520110","2"
88,2,2219323,"520110","2"
73,1,2214223,"520110","2"
73,2,2214223,"520110","2"
68,1,2251112,"520110","2"
68,2,2251112,"520110","2"
50,1,2247032,"520110","2"
50,2,2247032,"520110","2"
46,0,2263302,"520110","2"
98,0,2277482,"520110","2"
84,0,2292712,"520110","2"
68,0,2292892,"520110","2"
52,0,2285552,"520110","2"
53,0,2285552,"520110","2"
47,1,2287512,"520110","2"
47,2,2287512,"520110","2"
48,1,2286532,"520110","2"
48,2,2286532,"520110","2"
57,0,2291453,"520110","2"
70,0,2019665,"520110","2"
71,0,2019665,"520110","2"
42,0,2021665,"520110","2"
50,0,2019205,"520110","2"
58,0,2028315,"520110","2"
54,0,2039295,"520110","2"
42,0,2170604,"520110","2"
67,0,2170724,"520110","2"
40,0,2185164,"520110","2"
54,0,2215603,"520110","2"
59,0,2200973,"520110","2"
41,0,2223653,"520110","2"
43,0,2208083,"520110","2"
65,0,2232662,"520110","2"
47,0,2228322,"520110","2"
46,0,2272712,"520110","2"
63,0,2303432,"520110","2"
64,0,2303432,"520110","2"
45,2,2296682,"520110","2"
65,0,2299372,"520110","2"
62,0,2290802,"520110","2"
58,0,2033925,"520110","2"
50,0,2034745,"520110","2"
57,2,2218633,"520110","2"
50,1,2198353,"520110","2"
50,2,2198353,"520110","2"
25,0,2222783,"520110","2"
36,0,2223483,"520110","2"
37,0,2223483,"520110","2"
59,0,2257702,"520110","2"
46,0,2262822,"520110","2"
62,0,2275802,"520110","2"
45,1,2225875,"520110","2"
45,2,2225875,"520110","2"
39,0,2031545,"520110","2"
64,0,2027085,"520110","2"
74,0,2018625,"520110","2"
67,0,2167505,"520110","2"
43,0,2019265,"520110","2"
38,0,2031285,"520110","2"
61,0,2026755,"520110","2"
66,0,2040865,"520110","2"
65,0,2040015,"520110","2"
48,0,2161595,"520110","2"
44,0,2169704,"520110","2"
73,0,2169374,"520110","2"
64,0,2216583,"520110","2"
63,0,2219273,"520110","2"
47,0,2216403,"520110","2"
48,2,2212053,"520110","2"
40,0,2203483,"520110","2"
75,0,2203833,"520110","2"
60,0,2214733,"520110","2"
52,0,2217873,"520110","2"
38,0,2221173,"520110","2"
55,0,2214333,"520110","2"
50,0,2233502,"520110","2"
49,0,2250562,"520110","2"
54,0,2228112,"520110","2"
39,0,2256742,"520110","2"
52,0,2279052,"520110","2"
58,0,2280682,"520110","2"
60,0,2274062,"520110","2"
40,0,2277432,"520110","2"
41,0,2282012,"520110","2"
39,0,2298322,"520110","2"
97,0,2284312,"520110","2"
57,0,2287742,"520110","2"
40,0,2285832,"520110","2"
41,0,2285832,"520110","2"
67,0,2282332,"520110","2"
38,0,2289342,"520110","2"
41,0,2030225,"520110","2"
70,0,2037575,"520110","2"
49,0,2024075,"520110","2"
53,0,2030375,"520110","2"
54,0,2030375,"520110","2"
40,0,2018575,"520110","2"
62,0,2022475,"520110","2"
35,0,2189484,"520110","2"
57,0,2178444,"520110","2"
36,2,2175934,"520110","2"
36,3,2175934,"520110","2"
49,0,2183014,"520110","2"
67,0,2169814,"520110","2"
58,0,2216923,"520110","2"
59,0,2206483,"520110","2"
87,0,2200803,"520110","2"
31,0,2275943,"520110","2"
80,0,2200773,"520110","2"
49,0,2216863,"520110","2"
60,0,2212113,"520110","2"
61,0,2212113,"520110","2"
62,0,2212113,"520110","2"
45,0,2198433,"520110","2"
25,0,2306973,"520110","2"
36,0,2224033,"520110","2"
30,0,2200413,"520110","2"
42,0,2235332,"520110","2"
50,0,2227324,"520110","2"
51,0,2227324,"520110","2"
38,0,2261772,"520110","2"
91,0,2280532,"520110","2"
92,0,2280532,"520110","2"
59,0,2282572,"520110","2"
47,0,2285802,"520110","2"
48,1,2285802,"520110","2"
48,2,2285802,"520110","2"
75,0,2022085,"520110","2"
76,0,2022085,"520110","2"
65,0,2020825,"520110","2"
55,0,2037595,"520110","2"
39,0,2034195,"520110","2"
51,0,2025325,"520110","2"
54,0,2028295,"520110","2"
55,0,2028295,"520110","2"
48,0,2034515,"520110","2"
67,0,2020675,"520110","2"
42,0,2019255,"520110","2"
52,0,2040715,"520110","2"
64,0,2024725,"520110","2"
65,0,2024725,"520110","2"
33,0,2163235,"520110","2"
81,0,2028845,"520110","2"
52,0,2180334,"520110","2"
57,0,2175614,"520110","2"
61,0,2185854,"520110","2"
49,0,2193054,"520110","2"
58,0,2176184,"520110","2"
28,0,2169094,"520110","2"
54,0,2190554,"520110","2"
58,0,2188564,"520110","2"
57,0,2187974,"520110","2"
37,0,2196804,"520110","2"
66,0,2189824,"520110","2"
67,0,2189824,"520110","2"
48,0,2180044,"520110","2"
61,0,2173914,"520110","2"
47,0,2173595,"520110","2"
88,0,2174384,"520110","2"
37,0,2205854,"520110","2"
58,0,2183874,"520110","2"
64,0,2178034,"520110","2"
65,0,2178034,"520110","2"
37,0,2210314,"520110","2"
59,0,2216743,"520110","2"
64,0,2210393,"520110","2"
57,0,2200213,"520110","2"
40,0,2221793,"520110","2"
50,0,2217343,"520110","2"
51,0,2217343,"520110","2"
48,0,2211573,"520110","2"
75,0,2210883,"520110","2"
48,0,2203243,"520110","2"
55,0,2213063,"520110","2"
45,0,2220543,"520110","2"
76,0,2198753,"520110","2"
78,0,2198624,"520110","2"
49,0,2212323,"520110","2"
61,0,2210223,"520110","2"
54,0,2211213,"520110","2"
92,0,2198633,"520110","2"
40,0,2222833,"520110","2"
42,0,2222443,"520110","2"
53,0,2219813,"520110","2"
65,0,2212653,"520110","2"
58,0,2219803,"520110","2"
78,0,2236542,"520110","2"
59,0,2230422,"520110","2"
63,0,2233402,"520110","2"
64,0,2233402,"520110","2"
31,0,2233952,"520110","2"
64,0,2236242,"520110","2"
59,0,2278892,"520110","2"
48,0,2258612,"520110","2"
39,0,2278622,"520110","2"
52,0,2263192,"520110","2"
42,0,2269632,"520110","2"
79,0,2271212,"520110","2"
62,0,2226575,"520110","2"
26,0,2225653,"520110","2"
80,0,2305372,"520110","2"
64,0,2308002,"520110","2"
75,0,2301852,"520110","2"
74,0,2302332,"520110","2"
92,0,2285432,"520110","2"
93,0,2285432,"520110","2"
62,0,2303992,"520110","2"
37,0,2303452,"520110","2"
31,0,2288022,"520110","2"
54,0,2021795,"520110","2"
45,0,2025595,"520110","2"
77,0,2038995,"520110","2"
81,0,2023615,"520110","2"
82,0,2023615,"520110","2"
42,0,2034105,"520110","2"
64,0,2019875,"520110","2"
47,0,2041385,"520110","2"
37,0,2168305,"520110","2"
64,0,2175444,"520110","2"
42,0,2189544,"520110","2"
48,0,2190344,"520110","2"
70,0,2178614,"520110","2"
75,0,2187604,"520110","2"
76,0,2187604,"520110","2"
43,0,2189354,"520110","2"
55,0,2179454,"520110","2"
62,0,2210093,"520110","2"
54,0,2208133,"520110","2"
60,0,2222523,"520110","2"
65,0,2203193,"520110","2"
51,0,2216023,"520110","2"
49,0,2209033,"520110","2"
50,0,2209033,"520110","2"
60,0,2242602,"520110","2"
51,0,2252582,"520110","2"
68,0,2226705,"520110","2"
64,0,2279192,"520110","2"
42,0,2272132,"520110","2"
50,0,2272182,"520110","2"
51,0,2272182,"520110","2"
49,0,2261282,"520110","2"
58,0,2266482,"520110","2"
59,0,2266482,"520110","2"
59,0,2271662,"520110","2"
76,0,2286972,"520110","2"
46,0,2298712,"520110","2"
80,0,2288412,"520110","2"
48,0,2295772,"520110","2"
42,0,2293732,"520110","2"
53,0,2033205,"520110","2"
33,0,2163785,"520110","2"
44,0,2023405,"520110","2"
66,0,2019335,"520110","2"
43,0,2034445,"520110","2"
45,0,2177654,"520110","2"
56,0,2177524,"520110","2"
48,0,2180774,"520110","2"
75,0,2182224,"520110","2"
39,0,2214153,"520110","2"
47,1,2214173,"520110","2"
58,0,2202333,"520110","2"
51,0,2210303,"520110","2"
52,0,2210303,"520110","2"
52,0,2209953,"520110","2"
53,0,2209953,"520110","2"
47,0,2203003,"520110","2"
48,0,2238862,"520110","2"
74,0,2277782,"520110","2"
29,0,2258382,"520110","2"
43,0,2294032,"520110","2"
70,0,2286792,"520110","2"
71,0,2286792,"520110","2"
66,0,2030285,"520110","2"
34,1,2018205,"520110","2"
61,0,2030455,"520110","2"
48,0,2040425,"520110","2"
43,0,2036565,"520110","2"
54,0,2023475,"520110","2"
55,0,2023475,"520110","2"
37,0,2172654,"520110","2"
64,1,2188994,"520110","2"
51,0,2187514,"520110","2"
56,0,2192144,"520110","2"
37,1,2175814,"520110","2"
97,0,2173694,"520110","2"
67,0,2202583,"520110","2"
68,0,2202583,"520110","2"
29,0,2241893,"520110","2"
62,0,2222893,"520110","2"
89,0,2210433,"520110","2"
81,0,2216793,"520110","2"
61,0,2203523,"520110","2"
61,0,2214443,"520110","2"
49,0,2255002,"520110","2"
49,0,2260452,"520110","2"
36,0,2295212,"520110","2"
61,0,2281872,"520110","2"
71,0,2292592,"520110","2"
72,0,2292592,"520110","2"
61,0,2162415,"520110","2"
52,0,2030025,"520110","2"
65,0,2035495,"520110","2"
53,0,2027335,"520110","2"
67,0,2023915,"520110","2"
61,0,2027005,"520110","2"
62,0,2027005,"520110","2"
74,0,2021525,"520110","2"
75,0,2021525,"520110","2"
33,0,2031035,"520110","2"
64,0,2021015,"520110","2"
79,0,2031695,"520110","2"
78,0,2020185,"520110","2"
43,0,2172824,"520110","2"
86,0,2193204,"520110","2"
87,0,2193204,"520110","2"
36,0,2176774,"520110","2"
73,0,2189884,"520110","2"
55,0,2173354,"520110","2"
51,0,2182314,"520110","2"
52,0,2182314,"520110","2"
43,0,2183484,"520110","2"
88,0,2189054,"520110","2"
45,0,2206793,"520110","2"
76,0,2212363,"520110","2"
43,0,2216963,"520110","2"
78,0,2199753,"520110","2"
41,0,2205673,"520110","2"
33,0,2231042,"520110","2"
70,0,2235012,"520110","2"
71,0,2235012,"520110","2"
58,0,2292022,"520110","2"
35,0,2298292,"520110","2"
80,0,2288262,"520110","2"
57,0,2271334,"520110","2"
40,0,2039995,"520110","2"
88,0,2035945,"520110","2"
36,0,2166335,"520110","2"
53,0,2205643,"520110","2"
66,0,2201043,"520110","2"
38,0,2203273,"520110","2"
63,0,2209343,"520110","2"
64,0,2209343,"520110","2"
65,0,2209343,"520110","2"
77,0,2210703,"520110","2"
49,0,2246942,"520110","2"
68,0,2252862,"520110","2"
48,2,2287112,"520110","2"
51,0,2305152,"520110","2"
74,0,2282912,"520110","2"
69,2,2291292,"520110","2"
64,0,2302892,"520110","2"
48,0,2021165,"520110","2"
59,0,2038515,"520110","2"
36,0,2040615,"520110","2"
52,0,2180194,"520110","2"
47,0,2191044,"520110","2"
52,0,2201333,"520110","2"
47,0,2032605,"520110","2"
47,0,2022895,"520110","2"
59,0,2022455,"520110","2"
51,0,2036415,"520110","2"
60,0,2018415,"520110","2"
62,0,2023665,"520110","2"
54,0,2037945,"520110","2"
53,0,2032905,"520110","2"
39,0,2180454,"520110","2"
51,0,2190934,"520110","2"
48,0,2189114,"520110","2"
51,0,2190294,"520110","2"
36,0,2186104,"520110","2"
47,0,2181804,"520110","2"
57,0,2170574,"520110","2"
51,1,2188184,"520110","2"
37,0,2172584,"520110","2"
44,0,2173784,"520110","2"
57,0,2193084,"520110","2"
38,0,2205803,"520110","2"
67,0,2213543,"520110","2"
34,0,2226493,"520110","2"
77,0,2201793,"520110","2"
29,0,2222563,"520110","2"
45,0,2210113,"520110","2"
67,0,2206593,"520110","2"
80,0,2220973,"520110","2"
65,0,2199843,"520110","2"
57,0,2244242,"520110","2"
63,0,2268072,"520110","2"
54,0,2268962,"520110","2"
32,0,2291082,"520110","2"
84,0,2305642,"520110","2"
42,0,2243965,"520110","2"
35,1,2228584,"520110","2"
93,0,2018805,"520110","2"
51,0,2026075,"520110","2"
54,0,2034735,"520110","2"
66,0,2025505,"520110","2"
67,0,2025505,"520110","2"
29,0,2174834,"520110","2"
54,0,2175454,"520110","2"
49,0,2182944,"520110","2"
45,0,2219853,"520110","2"
49,0,2272063,"520110","2"
72,0,2214843,"520110","2"
73,2,2214843,"520110","2"
44,0,2222883,"520110","2"
63,0,2214623,"520110","2"
68,0,2209893,"520110","2"
46,0,2220733,"520110","2"
53,0,2215973,"520110","2"
38,0,2206453,"520110","2"
44,0,2222573,"520110","2"
44,0,2212783,"520110","2"
70,0,2205333,"520110","2"
57,0,2235502,"520110","2"
59,0,2266272,"520110","2"
75,0,2265572,"520110","2"
58,0,2265172,"520110","2"
67,0,2260522,"520110","2"
59,0,2290752,"520110","2"
51,1,2296822,"520110","2"
52,1,2296822,"520110","2"
43,0,2285592,"520110","2"
49,0,2030805,"520110","2"
66,2,2033725,"520110","2"
44,1,2036265,"520110","2"
55,0,2030125,"520110","2"
33,0,2166945,"520110","2"
45,0,2192014,"520110","2"
84,0,2175494,"520110","2"
79,0,2217803,"520110","2"
71,0,2203703,"520110","2"
48,0,2211973,"520110","2"
50,0,2220063,"520110","2"
90,2,2202743,"520110","2"
91,0,2202743,"520110","2"
61,0,2209403,"520110","2"
44,0,2199573,"520110","2"
42,0,2203413,"520110","2"
34,0,2237922,"520110","2"
40,0,2228442,"520110","2"
37,0,2272302,"520110","2"
42,0,2281832,"520110","2"
51,0,2247685,"520110","2"
56,0,2273103,"520110","2"
47,0,2292383,"520110","2"
57,0,2027165,"520110","2"
27,0,2269685,"520110","2"
30,0,2225825,"520110","2"
40,0,2021085,"520110","2"
33,0,2170894,"520110","2"
50,0,2185014,"520110","2"
40,0,2201983,"520110","2"
43,0,2220113,"520110","2"
58,0,2221343,"520110","2"
68,0,2270062,"520110","2"
69,0,2028865,"520110","2"
56,0,2018665,"520110","2"
36,0,2025355,"520110","2"
58,0,2175204,"520110","2"
54,0,2177274,"520110","2"
42,0,2198583,"520110","2"
59,0,2221923,"520110","2"
48,0,2256723,"520110","2"
35,0,2199313,"520110","2"
36,0,2259442,"520110","2"
58,0,2024465,"520110","2"
64,0,2028625,"520110","2"
68,0,2024615,"520110","2"
69,0,2024615,"520110","2"
34,0,2033755,"520110","2"
29,0,2040775,"520110","2"
68,0,2031185,"520110","2"
39,0,2024045,"520110","2"
41,0,2028005,"520110","2"
54,0,2027985,"520110","2"
30,0,2023935,"520110","2"
51,0,2037465,"520110","2"
78,0,2031325,"520110","2"
63,0,2196995,"520110","2"
75,0,2039125,"520110","2"
72,0,2037035,"520110","2"
72,0,2019105,"520110","2"
73,0,2019105,"520110","2"
36,0,2039275,"520110","2"
47,0,2181634,"520110","2"
75,0,2170804,"520110","2"
66,0,2172544,"520110","2"
46,0,2179814,"520110","2"
36,0,2175084,"520110","2"
67,0,2193014,"520110","2"
60,0,2186004,"520110","2"
50,0,2171954,"520110","2"
53,0,2187644,"520110","2"
52,0,2187864,"520110","2"
52,0,2176944,"520110","2"
40,0,2185864,"520110","2"
92,0,2188784,"520110","2"
93,0,2188784,"520110","2"
34,0,2169554,"520110","2"
33,0,2187824,"520110","2"
81,0,2187474,"520110","2"
82,0,2187474,"520110","2"
45,0,2170134,"520110","2"
46,0,2170134,"520110","2"
62,0,2219643,"520110","2"
57,0,2199923,"520110","2"
58,0,2199923,"520110","2"
26,0,2207613,"520110","2"
69,0,2220223,"520110","2"
53,0,2207803,"520110","2"
54,0,2207803,"520110","2"
61,0,2200885,"520110","2"
46,0,2208313,"520110","2"
44,0,2208983,"520110","2"
73,0,2223133,"520110","2"
46,0,2217993,"520110","2"
53,0,2209723,"520110","2"
29,0,2216783,"520110","2"
27,0,2220583,"520110","2"
48,0,2223823,"520110","2"
90,0,2201863,"520110","2"
40,0,2204603,"520110","2"
40,0,2217333,"520110","2"
38,0,2196815,"520110","2"
45,0,2210853,"520110","2"
33,0,2230252,"520110","2"
64,0,2234882,"520110","2"
33,0,2244712,"520110","2"
56,0,2241632,"520110","2"
57,2,2241632,"520110","2"
42,0,2235702,"520110","2"
46,0,2227265,"520110","2"
57,0,2250912,"520110","2"
37,0,2231552,"520110","2"
42,0,2268952,"520110","2"
44,0,2275042,"520110","2"
52,2,2280462,"520110","2"
28,0,2273412,"520110","2"
69,0,2263492,"520110","2"
49,0,2259282,"520110","2"
39,0,2286832,"520110","2"
47,0,2294812,"520110","2"
56,0,2299902,"520110","2"
56,0,2291752,"520110","2"
33,0,2292362,"520110","2"
63,0,2298462,"520110","2"
62,0,2289452,"520110","2"
60,0,2037685,"520110","2"
34,1,2033545,"520110","2"
48,0,2023215,"520110","2"
37,0,2033385,"520110","2"
51,0,2018315,"520110","2"
62,0,2023865,"520110","2"
59,0,2024625,"520110","2"
63,0,2022565,"520110","2"
61,0,2018725,"520110","2"
40,0,2036255,"520110","2"
70,0,2027215,"520110","2"
57,0,2189944,"520110","2"
64,0,2188634,"520110","2"
44,0,2182404,"520110","2"
71,0,2171754,"520110","2"
39,0,2184934,"520110","2"
49,0,2177264,"520110","2"
50,0,2177264,"520110","2"
54,0,2172604,"520110","2"
56,0,2182374,"520110","2"
55,0,2188234,"520110","2"
56,1,2204843,"520110","2"
56,2,2204843,"520110","2"
47,0,2199723,"520110","2"
46,0,2226993,"520110","2"
47,0,2217623,"520110","2"
46,0,2208123,"520110","2"
52,0,2200523,"520110","2"
45,0,2249212,"520110","2"
50,0,2277882,"520110","2"
54,0,2257552,"520110","2"
48,0,2254732,"520110","2"
92,0,2260932,"520110","2"
93,0,2260932,"520110","2"
54,0,2280352,"520110","2"
43,0,2285132,"520110","2"
44,1,2291252,"520110","2"
44,2,2291252,"520110","2"
52,0,2285054,"520110","2"
71,0,2165935,"520110","2"
72,0,2165935,"520110","2"
76,0,2037745,"520110","2"
39,0,2037705,"520110","2"
47,0,2025265,"520110","2"
62,0,2035595,"520110","2"
60,0,2038885,"520110","2"
123,0,2021295,"520110","2"
87,0,2035355,"520110","2"
83,0,2022325,"520110","2"
53,0,2164875,"520110","2"
42,0,2038145,"520110","2"
50,0,2026825,"520110","2"
42,0,2021245,"520110","2"
41,0,2019685,"520110","2"
64,0,2019935,"520110","2"
65,0,2019935,"520110","2"
46,0,2018535,"520110","2"
46,0,2174924,"520110","2"
44,0,2175304,"520110","2"
57,0,2173934,"520110","2"
77,0,2184144,"520110","2"
78,0,2184144,"520110","2"
52,0,2191084,"520110","2"
51,0,2179124,"520110","2"
44,0,2192484,"520110","2"
75,0,2171714,"520110","2"
48,0,2191154,"520110","2"
50,0,2180914,"520110","2"
41,0,2185284,"520110","2"
51,0,2181974,"520110","2"
49,0,2181454,"520110","2"
26,0,2185934,"520110","2"
40,0,2172884,"520110","2"
59,0,2169084,"520110","2"
70,0,2218213,"520110","2"
36,0,2219163,"520110","2"
51,0,2222303,"520110","2"
49,0,2209433,"520110","2"
36,0,2217913,"520110","2"
39,0,2210643,"520110","2"
55,0,2205753,"520110","2"
78,0,2217093,"520110","2"
80,0,2217093,"520110","2"
54,0,2212513,"520110","2"
56,0,2204853,"520110","2"
74,0,2223333,"520110","2"
75,0,2223333,"520110","2"
59,0,2204613,"520110","2"
83,0,2215943,"520110","2"
96,0,2231562,"520110","2"
86,0,2241672,"520110","2"
61,0,2240212,"520110","2"
67,0,2244162,"520110","2"
43,0,2229402,"520110","2"
55,0,2226385,"520110","2"
76,0,2239932,"520110","2"
31,0,2256692,"520110","2"
58,0,2284242,"520110","2"
55,0,2288862,"520110","2"
37,0,2299202,"520110","2"
35,0,2225713,"520110","2"
50,0,2292272,"520110","2"
82,0,2034975,"520110","2"
70,0,2023355,"520110","2"
49,0,2038875,"520110","2"
72,0,2020605,"520110","2"
28,0,2173334,"520110","2"
66,0,2173054,"520110","2"
43,0,2184014,"520110","2"
76,0,2170514,"520110","2"
60,0,2178944,"520110","2"
53,0,2175954,"520110","2"
43,0,2175224,"520110","2"
45,0,2229333,"520110","2"
82,0,2217983,"520110","2"
32,0,2278973,"520110","2"
55,0,2201993,"520110","2"
73,0,2205203,"520110","2"
64,0,2222493,"520110","2"
50,0,2199013,"520110","2"
44,0,2221803,"520110","2"
47,0,2221803,"520110","2"
77,0,2216283,"520110","2"
78,0,2216283,"520110","2"
51,0,2230892,"520110","2"
52,0,2230892,"520110","2"
63,0,2235152,"520110","2"
66,0,2255882,"520110","2"
44,0,2263532,"520110","2"
35,0,2225484,"520110","2"
58,0,2290782,"520110","2"
48,0,2299462,"520110","2"
77,0,2306632,"520110","2"
55,0,2297122,"520110","2"
43,0,2039795,"520110","2"
81,0,2029105,"520110","2"
82,0,2029105,"520110","2"
65,0,2023725,"520110","2"
49,0,2019195,"520110","2"
35,0,2032755,"520110","2"
45,0,2179594,"520110","2"
57,0,2190864,"520110","2"
33,0,2213454,"520110","2"
46,0,2226653,"520110","2"
47,0,2226653,"520110","2"
64,0,2224543,"520110","2"
55,0,2243212,"520110","2"
49,0,2262172,"520110","2"
57,0,2277512,"520110","2"
48,0,2291502,"520110","2"
49,0,2291502,"520110","2"
27,0,2292562,"520110","2"
51,0,2298622,"520110","2"
36,0,2289852,"520110","2"
37,1,2307654,"520110","2"
83,1,2022965,"520110","2"
59,0,2038325,"520110","2"
126,0,2023845,"520110","2"
67,0,2031805,"520110","2"
48,1,2169064,"520110","2"
84,0,2193574,"520110","2"
30,0,2221844,"520110","2"
49,0,2176374,"520110","2"
130,1,2169974,"520110","2"
49,0,2179584,"520110","2"
46,0,2190194,"520110","2"
62,0,2175804,"520110","2"
102,2,2191444,"520110","2"
91,0,2200123,"520110","2"
50,2,2220463,"520110","2"
75,0,2224743,"520110","2"
60,0,2202773,"520110","2"
61,2,2202773,"520110","2"
40,0,2232722,"520110","2"
82,0,2236322,"520110","2"
87,0,2288312,"520110","2"
88,0,2288312,"520110","2"
57,0,2022195,"520110","2"
45,0,2023285,"520110","2"
66,0,2038345,"520110","2"
39,0,2024195,"520110","2"
55,0,2038735,"520110","2"
66,0,2171944,"520110","2"
44,0,2188004,"520110","2"
45,0,2185884,"520110","2"
29,0,2195584,"520110","2"
43,0,2202163,"520110","2"
71,0,2222433,"520110","2"
44,0,2214764,"520110","2"
52,0,2237042,"520110","2"
36,0,2235022,"520110","2"
31,0,2232942,"520110","2"
49,0,2269032,"520110","2"
52,0,2260592,"520110","2"
47,0,2020045,"520110","2"
59,1,2033955,"520110","2"
49,1,2036155,"520110","2"
50,0,2036155,"520110","2"
71,0,2022175,"520110","2"
69,1,2189394,"520110","2"
52,0,2195174,"520110","2"
46,0,2191764,"520110","2"
68,1,2221083,"520110","2"
40,1,2202373,"520110","2"
41,1,2202373,"520110","2"
82,0,2210543,"520110","2"
61,0,2233012,"520110","2"
53,1,2293202,"520110","2"
28,0,2236403,"520110","2"
43,0,2033845,"520110","2"
52,0,2019555,"520110","2"
32,0,2162155,"520110","2"
57,0,2195185,"520110","2"
61,0,2174884,"520110","2"
37,0,2172624,"520110","2"
49,0,2190724,"520110","2"
22,0,2213983,"520110","2"
43,0,2208503,"520110","2"
42,0,2203963,"520110","2"
59,0,2222243,"520110","2"
37,0,2197805,"520110","2"
53,0,2270172,"520110","2"
72,0,2266402,"520110","2"
67,0,2018845,"520110","2"
101,0,2023325,"520110","2"
